Id;Idade;Altura;Tecnica;Passe;Chute;Forca;Velocidade;Drible;Classe
201;19;186;71;67;52;77;75;65;Defensor
202;19;175;65;63;66;60;82;70;Atacante
203;20;181;64;64;67;70;67;68;Atacante
204;20;170;69;66;70;62;76;75;Atacante
205;21;176;66;61;68;65;75;72;Atacante
206;22;171;64;65;66;60;78;71;Atacante
207;22;176;70;72;70;64;77;77;Atacante
208;22;188;72;69;50;76;75;65;Defensor
209;22;180;68;74;67;71;72;71;Atacante
210;22;177;67;68;69;65;77;73;Atacante
211;23;185;77;79;65;79;75;79;Atacante
212;23;178;66;68;65;65;80;76;Atacante
213;23;180;68;65;51;77;71;61;Defensor
214;23;170;68;66;68;62;75;74;Atacante
215;24;182;79;73;58;77;77;65;Defensor
216;24;178;62;68;46;70;65;63;Defensor
217;24;189;65;65;55;70;69;58;Defensor
218;25;181;72;67;58;77;81;73;Defensor
219;25;185;69;65;58;75;72;68;Defensor
220;25;178;70;67;63;66;83;77;Atacante
221;26;174;67;64;65;66;82;70;Atacante
222;26;169;78;78;73;67;83;80;Atacante
223;27;190;70;64;58;81;74;60;Defensor
224;27;183;70;66;55;81;67;65;Defensor
225;27;184;78;68;76;68;92;83;Atacante
226;28;178;72;64;79;74;73;69;Atacante
227;31;189;70;66;59;84;71;63;Defensor
228;33;187;71;63;55;82;73;64;Defensor
229;37;188;72;63;54;84;70;60;Defensor
230;37;182;72;65;59;84;67;63;Defensor
